SR,ITEM_CODE,PARENT_ID,DESIGN_CODE,CATEGORY,SUB_CATEGORY,,DIAMOND_TYPE,SHAPE,COLOR,CLARITY,SETTING_TYPE,PIECES,SIZE_MIN,SIZE_MAX,TOTAL_WGT,,METAL_TYPE,METAL_STAMP,APPX_WEIGHT,,NATURAL_PRICE,NATURAL_OFFER_PRICE,LAB_PRICE,LAB_OFFER_PRICE,VARIANT_TAXABLE,,Rings_SIZE,GENDER,IS_ENGRAVING,SHIPMENT_DAYS,MATCHING_ITEMCODE,,IMG1,IMG2,IMG3,IMG4,IMG5,VIDEO,,TITLE,LONG_DESC,SHORT_DESC,COLLECTIONS,OCCASIONS,TAGS,PUBLISHED,SLUG
350,RHWG54,RHWG54,RH_RD_104,Rings,Engagement Rings,,Center,Round,,,Halo,,0.5,1,,,White Gold,14K,4.79,,1210,,753,,,,,,,,,,https://bellamy.blob.core.windows.net/bellamy/RHWG54/RHWG54-01.png,https://bellamy.blob.core.windows.net/bellamy/RHWG54/RHWG54-02.png,https://bellamy.blob.core.windows.net/bellamy/RHWG54/RHWG54-03.png,https://bellamy.blob.core.windows.net/bellamy/RHWG54/RHWG54-04.png,https://bellamy.blob.core.windows.net/bellamy/RHWG54/RHWG54-05.jpg,https://bellamy.blob.core.windows.net/bellamy/RHWG54/RHWG54-V1.mp4,,14K White Gold Comfort Fit Engagement Rings,,,,,"Rings, Round, Halo, White Gold, 14Kdiamond Rings, engagement Rings, Rings, weeding Rings, popular designs, 14k gold, Rings setting, sale, rose gold, yelow gold, white gold",,
,,,,,,,side,Round,D-G,VVS-VS,,104,0.009,0.015,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,RHRG54,RHWG54,RH_RD_104,Rings,Engagement Rings,,Center,Round,,,Halo,,0.5,1,,,Rose Gold,14K,4.79,,1210,,753,,,,,,,,,,https://bellamy.blob.core.windows.net/bellamy/RHRG54/RHRG54-01.png,https://bellamy.blob.core.windows.net/bellamy/RHRG54/RHRG54-02.png,https://bellamy.blob.core.windows.net/bellamy/RHRG54/RHRG54-03.png,https://bellamy.blob.core.windows.net/bellamy/RHRG54/RHRG54-04.png,https://bellamy.blob.core.windows.net/bellamy/RHRG54/RHRG54-05.jpg,https://bellamy.blob.core.windows.net/bellamy/RHRG54/RHRG54-V1.mp4,,14K Rose Gold Comfort Fit Engagement Rings,,,,,"Rings, Round, Halo, Rose Gold, 14Kdiamond Rings, engagement Rings, Rings, weeding Rings, popular designs, 14k gold, Rings setting, sale, rose gold, yelow gold, white gold",,
,,,,,,,side,Round,D-G,VVS-VS,,104,0.009,0.015,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,RHYG56,,RH_RD_106,Rings,Engagement Rings,,Center,Round,,,Halo,,1,1,,,Yellow Gold,14K,4.22,,547,,469,,,,,,,,,,https://bellamy.blob.core.windows.net/bellamy/RHYG56/RHYG56-01.png,https://bellamy.blob.core.windows.net/bellamy/RHYG56/RHYG56-02.png,https://bellamy.blob.core.windows.net/bellamy/RHYG56/RHYG56-03.png,https://bellamy.blob.core.windows.net/bellamy/RHYG56/RHYG56-04.png,https://bellamy.blob.core.windows.net/bellamy/RHYG56/RHYG56-05.jpg,https://bellamy.blob.core.windows.net/bellamy/RHYG56/RHYG56-V1.mp4,,14K Yellow Gold Comfort Fit Engagement Rings,,,,,"Rings, Round, Halo, Yellow Gold, 14Kdiamond Rings, engagement Rings, Rings, weeding Rings, popular designs, 14k gold, Rings setting, sale, rose gold, yelow gold, white gold",,
,,,,,,,side,Round,D-G,VVS-VS,,18,0.009,0.009,0.162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,RHWG56,RHWG56,RH_RD_106,Rings,Engagement Rings,,Center,Round,,,Halo,,1,1,,,White Gold,14K,4.22,,547,,469,,,,,,,,,,https://bellamy.blob.core.windows.net/bellamy/RHWG56/RHWG56-01.png,https://bellamy.blob.core.windows.net/bellamy/RHWG56/RHWG56-02.png,https://bellamy.blob.core.windows.net/bellamy/RHWG56/RHWG56-03.png,https://bellamy.blob.core.windows.net/bellamy/RHWG56/RHWG56-04.png,https://bellamy.blob.core.windows.net/bellamy/RHWG56/RHWG56-05.jpg,https://bellamy.blob.core.windows.net/bellamy/RHWG56/RHWG56-V1.mp4,,14K White Gold Comfort Fit Engagement Rings,,,,,"Rings, Round, Halo, White Gold, 14Kdiamond Rings, engagement Rings, Rings, weeding Rings, popular designs, 14k gold, Rings setting, sale, rose gold, yelow gold, white gold",,
,,,,,,,side,Round,D-G,VVS-VS,,18,0.009,0.009,0.162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,RHRG56,RHWG56,RH_RD_106,Rings,Engagement Rings,,Center,Round,,,Halo,,1,1,,,Rose Gold,14K,4.22,,547,,469,,,,,,,,,,https://bellamy.blob.core.windows.net/bellamy/RHRG56/RHRG56-01.png,https://bellamy.blob.core.windows.net/bellamy/RHRG56/RHRG56-02.png,https://bellamy.blob.core.windows.net/bellamy/RHRG56/RHRG56-03.png,https://bellamy.blob.core.windows.net/bellamy/RHRG56/RHRG56-04.png,https://bellamy.blob.core.windows.net/bellamy/RHRG56/RHRG56-05.jpg,https://bellamy.blob.core.windows.net/bellamy/RHRG56/RHRG56-V1.mp4,,14K Rose Gold Comfort Fit Engagement Rings,,,,,"Rings, Round, Halo, Rose Gold, 14Kdiamond Rings, engagement Rings, Rings, weeding Rings, popular designs, 14k gold, Rings setting, sale, rose gold, yelow gold, white gold",,
,,,,,,,side,Round,D-G,VVS-VS,,18,0.009,0.009,0.162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
